,unique_id,date,cutoff,demand,Naive,MA_1,MA_2,MA_3,MA_4,MA_5,MA_6,MA_7,MA_8,MA_9,MA_10,MA_11,MA_12,MA_13,MA_14,MA_15,MA_16,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES,Holt,Holt‑Winters
0,Demand Amoxicillin Fürth,2021-07-12,2021-07-05,251.0,276.0,276.0,299.5,303.66666,312.75,295.4,307.16666,309.0,313.625,319.55554,320.3,322.0909,326.0,327.84616,333.0,337.06668,338.0625,336.5511,316.36758,306.63507,301.1223,297.01526,293.2072,289.25568,285.04382,280.60797,276.0,301.81912,301.57645,309.28247
1,Demand Amoxicillin Fürth,2021-07-19,2021-07-05,328.0,276.0,276.0,299.5,303.66666,312.75,295.4,307.16666,309.0,313.625,319.55554,320.3,322.0909,326.0,327.84616,333.0,337.06668,338.0625,336.5511,316.36758,306.63507,301.1223,297.01526,293.2072,289.25568,285.04382,280.60797,276.0,301.81912,297.28387,298.0704
2,Demand Amoxicillin Fürth,2021-07-26,2021-07-05,302.0,276.0,276.0,299.5,303.66666,312.75,295.4,307.16666,309.0,313.625,319.55554,320.3,322.0909,326.0,327.84616,333.0,337.06668,338.0625,336.5511,316.36758,306.63507,301.1223,297.01526,293.2072,289.25568,285.04382,280.60797,276.0,301.81912,293.29443,309.87628
3,Demand Amoxicillin Fürth,2021-08-02,2021-07-05,316.0,276.0,276.0,299.5,303.66666,312.75,295.4,307.16666,309.0,313.625,319.55554,320.3,322.0909,326.0,327.84616,333.0,337.06668,338.0625,336.5511,316.36758,306.63507,301.1223,297.01526,293.2072,289.25568,285.04382,280.60797,276.0,301.81912,289.58676,315.99527
4,Demand Amoxicillin Fürth,2021-08-09,2021-08-02,300.0,316.0,316.0,309.0,315.33334,299.25,294.6,299.33334,301.14285,306.0,297.1111,304.0,305.45456,308.83334,313.30768,314.2857,316.0,319.3125,324.45706,308.7906,305.88696,306.82385,308.75095,310.7125,312.37088,313.67847,314.78595,316.0,306.5237,297.89322,361.58517
5,Demand Amoxicillin Fürth,2021-08-16,2021-08-02,330.0,316.0,316.0,309.0,315.33334,299.25,294.6,299.33334,301.14285,306.0,297.1111,304.0,305.45456,308.83334,313.30768,314.2857,316.0,319.3125,324.45706,308.7906,305.88696,306.82385,308.75095,310.7125,312.37088,313.67847,314.78595,316.0,306.5237,296.41562,331.9374
6,Demand Amoxicillin Fürth,2021-08-23,2021-08-02,297.0,316.0,316.0,309.0,315.33334,299.25,294.6,299.33334,301.14285,306.0,297.1111,304.0,305.45456,308.83334,313.30768,314.2857,316.0,319.3125,324.45706,308.7906,305.88696,306.82385,308.75095,310.7125,312.37088,313.67847,314.78595,316.0,306.5237,294.93805,337.40204
7,Demand Amoxicillin Fürth,2021-08-30,2021-08-02,348.0,316.0,316.0,309.0,315.33334,299.25,294.6,299.33334,301.14285,306.0,297.1111,304.0,305.45456,308.83334,313.30768,314.2857,316.0,319.3125,324.45706,308.7906,305.88696,306.82385,308.75095,310.7125,312.37088,313.67847,314.78595,316.0,306.5237,293.46045,337.43243
8,Demand Amoxicillin Fürth,2021-09-06,2021-08-30,342.0,348.0,348.0,322.5,325.0,318.75,318.2,315.5,317.2857,309.0,305.33334,307.1,307.54544,310.25,303.76923,308.2143,309.0,311.3125,323.00626,316.5606,319.59344,323.68436,327.54694,331.23425,334.9602,338.9019,343.20148,348.0,322.86087,303.74692,314.78604
9,Demand Amoxicillin Fürth,2021-09-13,2021-08-30,342.0,348.0,348.0,322.5,325.0,318.75,318.2,315.5,317.2857,309.0,305.33334,307.1,307.54544,310.25,303.76923,308.2143,309.0,311.3125,323.00626,316.5606,319.59344,323.68436,327.54694,331.23425,334.9602,338.9019,343.20148,348.0,322.86087,308.5706,381.10617
10,Demand Amoxicillin Fürth,2021-09-20,2021-08-30,380.0,348.0,348.0,322.5,325.0,318.75,318.2,315.5,317.2857,309.0,305.33334,307.1,307.54544,310.25,303.76923,308.2143,309.0,311.3125,323.00626,316.5606,319.59344,323.68436,327.54694,331.23425,334.9602,338.9019,343.20148,348.0,322.86087,313.39423,299.7284
11,Demand Amoxicillin Fürth,2021-09-27,2021-08-30,344.0,348.0,348.0,322.5,325.0,318.75,318.2,315.5,317.2857,309.0,305.33334,307.1,307.54544,310.25,303.76923,308.2143,309.0,311.3125,323.00626,316.5606,319.59344,323.68436,327.54694,331.23425,334.9602,338.9019,343.20148,348.0,322.86087,318.2179,360.52957
12,Demand Amoxicillin Fürth,2021-10-04,2021-09-27,417.0,344.0,344.0,362.0,355.33334,352.0,351.2,342.16666,340.42856,335.375,333.22223,330.1,329.9091,323.33334,319.69232,319.92856,319.4,320.6875,333.15823,338.06003,345.20016,349.5463,351.59668,352.0444,351.32297,349.67505,347.22012,344.0,349.1314,363.75098,375.40936
13,Demand Amoxicillin Fürth,2021-10-11,2021-09-27,395.0,344.0,344.0,362.0,355.33334,352.0,351.2,342.16666,340.42856,335.375,333.22223,330.1,329.9091,323.33334,319.69232,319.92856,319.4,320.6875,333.15823,338.06003,345.20016,349.5463,351.59668,352.0444,351.32297,349.67505,347.22012,344.0,349.1314,370.62973,424.4478
14,Demand Amoxicillin Fürth,2021-10-18,2021-09-27,340.0,344.0,344.0,362.0,355.33334,352.0,351.2,342.16666,340.42856,335.375,333.22223,330.1,329.9091,323.33334,319.69232,319.92856,319.4,320.6875,333.15823,338.06003,345.20016,349.5463,351.59668,352.0444,351.32297,349.67505,347.22012,344.0,349.1314,376.13272,384.2606
15,Demand Amoxicillin Fürth,2021-10-25,2021-09-27,423.0,344.0,344.0,362.0,355.33334,352.0,351.2,342.16666,340.42856,335.375,333.22223,330.1,329.9091,323.33334,319.69232,319.92856,319.4,320.6875,333.15823,338.06003,345.20016,349.5463,351.59668,352.0444,351.32297,349.67505,347.22012,344.0,349.1314,380.53513,409.98663
16,Demand Amoxicillin Fürth,2021-11-01,2021-10-25,372.0,423.0,423.0,381.5,386.0,393.75,383.8,383.16666,377.2857,372.875,370.1111,362.8,359.81818,354.83334,351.84616,348.2857,346.93332,340.9375,353.87943,370.7302,382.15686,389.01,393.9123,398.34515,403.11203,408.66827,415.265,423.0,388.42917,400.7885,432.8477
17,Demand Amoxicillin Fürth,2021-11-08,2021-10-25,402.0,423.0,423.0,381.5,386.0,393.75,383.8,383.16666,377.2857,372.875,370.1111,362.8,359.81818,354.83334,351.84616,348.2857,346.93332,340.9375,353.87943,370.7302,382.15686,389.01,393.9123,398.34515,403.11203,408.66827,415.265,423.0,388.42917,406.67328,369.5457
18,Demand Amoxicillin Fürth,2021-11-15,2021-10-25,468.0,423.0,423.0,381.5,386.0,393.75,383.8,383.16666,377.2857,372.875,370.1111,362.8,359.81818,354.83334,351.84616,348.2857,346.93332,340.9375,353.87943,370.7302,382.15686,389.01,393.9123,398.34515,403.11203,408.66827,415.265,423.0,388.42917,411.3811,403.1407
